room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
17175876,51960262,Shared room,,Inner Sydney,0,0.0,1,1.0,39.0,,-33.876055,151.198073,2017-03-13 04:07:00.143064
8805403,43082650,Shared room,,Blacktown,25,4.5,10,1.0,33.0,,-33.726958,150.916685,2017-03-13 04:06:58.658135
15540254,27562439,Shared room,,Lower Northern Sydney,5,4.5,1,1.0,21.0,,-33.787071,151.125647,2017-03-13 04:06:58.651654
14718168,43976171,Shared room,,St George-Sutherland,5,5.0,1,1.0,20.0,,-33.947977,151.080128,2017-03-13 04:06:58.649074
16667598,47613312,Shared room,,St George-Sutherland,4,5.0,2,1.0,26.0,,-33.932312,151.147928,2017-03-13 04:06:58.646571
17160176,44232153,Shared room,,Inner Sydney,4,5.0,1,1.0,27.0,,-33.887088,151.167048,2017-03-13 04:06:58.644447
11499464,60564638,Shared room,,Fairfield-Liverpool,0,0.0,1,1.0,35.0,,-33.930829,150.954154,2017-03-13 04:06:58.641433
14924249,23205064,Shared room,,Inner Sydney,2,0.0,1,1.0,18.0,,-33.902674,151.18506,2017-03-13 04:06:58.639200
14082164,84655480,Shared room,,Lower Northern Sydney,0,0.0,1,1.0,31.0,,-33.787882,151.128637,2017-03-13 04:06:58.633263
16005571,61522691,Shared room,,Canterbury-Bankstown,4,4.5,1,1.0,20.0,,-33.922301,151.082636,2017-03-13 04:06:58.630108
8489116,44709741,Shared room,,Lower Northern Sydney,8,5.0,1,1.0,15.0,,-33.794065,151.1127,2017-03-13 04:06:58.627764
13115678,72831209,Shared room,,Inner Sydney,1,0.0,1,1.0,28.0,,-33.887426,151.196582,2017-03-13 04:06:58.625508
7724423,38799083,Shared room,,Inner Western Sydney,10,5.0,1,1.0,24.0,,-33.871268,151.097,2017-03-13 04:06:58.622786
17227328,51202685,Shared room,,Inner Western Sydney,1,0.0,1,1.0,21.0,,-33.879976,151.103843,2017-03-13 04:06:58.620331
13647608,12155820,Shared room,,St George-Sutherland,2,0.0,1,1.0,28.0,,-33.952311,151.140159,2017-03-13 04:06:58.617376
15536958,42706543,Shared room,,Inner Sydney,4,5.0,1,1.0,20.0,,-33.8789,151.198034,2017-03-13 04:06:58.614686
17559974,118626595,Shared room,,Inner Sydney,0,0.0,1,1.0,27.0,,-33.902233,151.178182,2017-03-13 04:06:58.612190
16219110,105270597,Shared room,,St George-Sutherland,3,4.5,1,1.0,23.0,,-33.951956,151.134062,2017-03-13 04:06:58.609382
15154031,52825491,Shared room,,Inner Western Sydney,8,4.5,2,1.0,20.0,,-33.875676,151.103309,2017-03-13 04:06:57.598033
17613879,31147437,Shared room,,Inner Western Sydney,0,0.0,3,1.0,21.0,,-33.875778,151.11068,2017-03-13 04:06:57.595224
556204,2735294,Shared room,,Inner Sydney,1,0.0,1,1.0,11.0,,-33.903734,151.173074,2017-03-13 04:06:57.592068
16814233,110071448,Shared room,,Lower Northern Sydney,4,5.0,2,1.0,24.0,,-33.794893,151.17627,2017-03-13 04:06:57.589634
16933402,50617274,Shared room,,Inner Western Sydney,0,0.0,1,1.0,15.0,,-33.857441,151.133778,2017-03-13 04:06:57.586972
15029113,90324424,Shared room,,St George-Sutherland,23,4.5,2,1.0,30.0,,-33.937302,151.152785,2017-03-13 04:06:57.584264
16714990,24026420,Shared room,,Inner Sydney,4,5.0,1,1.0,24.0,,-33.881151,151.211404,2017-03-13 04:06:57.581228
15989883,89788935,Shared room,,Inner Sydney,15,4.5,1,1.0,35.0,,-33.900436,151.177702,2017-03-13 04:06:57.578741
16510180,7567819,Shared room,,Inner Sydney,15,4.5,1,1.0,31.0,,-33.87535,151.218757,2017-03-13 04:06:57.576224
16814313,50848274,Shared room,,Lower Northern Sydney,3,4.5,1,1.0,27.0,,-33.835469,151.124489,2017-03-13 04:06:57.573507
12372531,51389923,Shared room,,St George-Sutherland,9,5.0,1,1.0,13.0,,-33.952777,151.08506,2017-03-13 04:06:57.569715
13964812,50985070,Shared room,,St George-Sutherland,3,4.0,1,1.0,20.0,,-33.966173,151.134238,2017-03-13 04:06:57.567362
