room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6748487,28177223,Shared room,,Eastern Suburbs,0,,1.0,1.0,31.0,10.0,-33.889323,151.270481,2016-01-29 22:40:00.305101
5329089,3685440,Entire home/apt,,Eastern Suburbs,1,5.0,4.0,2.0,230.0,3.0,-33.888543,151.255529,2016-01-29 22:39:56.343370
5022820,25919888,Entire home/apt,,Inner Sydney,2,4.5,2.0,0.0,146.0,1.0,-33.886891,151.208134,2016-01-29 22:39:51.675888
6822704,32176122,Private room,,Eastern Suburbs,0,,1.0,1.0,33.0,1.0,-33.861883,151.279111,2016-01-29 22:39:46.832124
10500563,7684719,Entire home/apt,,Eastern Suburbs,0,,4.0,2.0,141.0,1.0,-33.883248,151.259442,2016-01-29 22:39:34.913942
10733532,219025,Entire home/apt,,Inner Sydney,0,,4.0,2.0,254.0,1.0,-33.902506,151.186476,2016-01-29 22:39:27.956576
3605647,9002859,Private room,,Inner Sydney,0,,2.0,1.0,55.0,5.0,-33.88832,151.176841,2016-01-29 22:38:53.719901
3168053,4226361,Entire home/apt,,Inner Sydney,13,4.5,3.0,1.0,87.0,3.0,-33.888734,151.207426,2016-01-29 22:38:51.367972
6056615,5412740,Entire home/apt,,Lower Northern Sydney,0,,2.0,1.0,99.0,3.0,-33.837303,151.207432,2016-01-29 22:38:43.661365
10139862,52036409,Entire home/apt,,Canterbury-Bankstown,0,,4.0,2.0,77.0,1.0,-33.908399,151.106677,2016-01-29 22:38:15.019508
7919747,8312262,Private room,,Inner Sydney,0,,1.0,1.0,33.0,1.0,-33.8872,151.227287,2016-01-29 22:38:11.957736
9413300,43736801,Entire home/apt,,Lower Northern Sydney,0,,4.0,2.0,327.0,3.0,-33.832046,151.221524,2016-01-29 22:38:09.459961
6706006,21827874,Private room,,Inner Sydney,1,3.0,2.0,1.0,36.0,7.0,-33.91791,151.207092,2016-01-29 22:37:54.499504
4106980,4537965,Entire home/apt,,Eastern Suburbs,7,5.0,4.0,2.0,128.0,4.0,-33.889521,151.268662,2016-01-29 22:37:50.002209
10714798,55372574,Private room,,Eastern Suburbs,0,,2.0,1.0,64.0,2.0,-33.896058,151.242709,2016-01-29 22:37:46.548314
9942907,23871361,Private room,,Inner Sydney,1,4.0,2.0,1.0,73.0,5.0,-33.885976,151.216168,2016-01-29 22:37:40.367102
2363132,12070552,Private room,,Eastern Suburbs,0,,1.0,1.0,109.0,1.0,-33.925996,151.257395,2016-01-29 22:37:30.811870
3042637,15492831,Entire home/apt,,Eastern Suburbs,77,5.0,2.0,0.0,111.0,2.0,-33.900564,151.263816,2016-01-29 22:37:24.901134
768091,3932725,Entire home/apt,,Eastern Suburbs,4,5.0,,3.0,263.0,4.0,-33.891374,151.263822,2016-01-29 22:37:22.034857
10395611,6514848,Private room,,Inner Sydney,1,5.0,2.0,1.0,55.0,1.0,-33.878727,151.191736,2016-01-29 22:37:19.318967
3297133,16655675,Entire home/apt,,Eastern Suburbs,0,,2.0,2.0,421.0,7.0,-33.914947,151.251852,2016-01-29 22:37:16.488126
9137618,35181199,Private room,,Eastern Suburbs,1,5.0,2.0,1.0,47.0,1.0,-33.92031,151.250603,2016-01-29 22:37:09.018944
10076370,51300639,Shared room,,Inner Sydney,2,2.5,2.0,1.0,43.0,3.0,-33.881174,151.19727,2016-01-29 22:37:00.033255
2222728,11340894,Entire home/apt,,Lower Northern Sydney,5,5.0,4.0,2.0,131.0,1.0,-33.832034,151.238943,2016-01-29 22:36:43.129481
2426898,12336413,Private room,,Lower Northern Sydney,48,4.5,1.0,1.0,47.0,2.0,-33.807832,151.182593,2016-01-29 22:36:40.943017
3966576,3572880,Entire home/apt,,Inner Sydney,0,,3.0,2.0,44.0,10.0,-33.907623,151.212866,2016-01-29 22:36:37.116999
8035930,2322429,Entire home/apt,,Eastern Suburbs,5,5.0,2.0,1.0,102.0,2.0,-33.884815,151.256103,2016-01-29 22:36:21.595411
5125741,5621878,Private room,,Eastern Suburbs,1,2.0,1.0,1.0,24.0,1.0,-33.916984,151.218635,2016-01-29 22:36:17.622929
9307202,34305,Entire home/apt,,Eastern Suburbs,1,5.0,,3.0,356.0,2.0,-33.894695,151.247389,2016-01-29 22:36:08.286774
6328011,14535893,Private room,,Inner Sydney,17,5.0,2.0,1.0,71.0,2.0,-33.875064,151.22007,2016-01-29 22:36:04.923388
5839339,4716168,Entire home/apt,,Eastern Suburbs,6,4.5,,3.0,527.0,2.0,-33.891335,151.266624,2016-01-29 22:35:49.985709
10079062,51718625,Private room,,Northern Beaches,0,,1.0,1.0,95.0,1.0,-33.786322,151.286961,2016-01-29 22:35:46.796650
10864451,56283936,Entire home/apt,,Eastern Suburbs,0,,2.0,1.0,109.0,1.0,-33.884742,151.281701,2016-01-29 22:35:43.319352
9534386,25287592,Entire home/apt,,Inner Sydney,0,,4.0,1.0,152.0,7.0,-33.863508,151.206067,2016-01-29 22:35:37.069262
2857778,14138978,Entire home/apt,,Eastern Suburbs,13,4.0,4.0,2.0,145.0,3.0,-33.896669,151.273059,2016-01-29 22:35:19.044769
1547196,8245427,Entire home/apt,,Eastern Suburbs,1,5.0,,3.0,364.0,7.0,-33.89447,151.25935,2016-01-29 22:34:34.190448
5572260,24718860,Entire home/apt,,Inner Sydney,3,4.0,4.0,2.0,128.0,4.0,-33.878729,151.180012,2016-01-29 22:34:23.537763
10552586,24095639,Entire home/apt,,Eastern Suburbs,0,,3.0,1.0,131.0,3.0,-33.863296,151.281778,2016-01-29 22:34:20.278438
8329099,36756718,Shared room,,Eastern Suburbs,0,,12.0,1.0,29.0,1.0,-33.920685,151.257113,2016-01-29 22:34:13.429324
3033162,13142430,Entire home/apt,,Inner Sydney,2,3.0,3.0,1.0,121.0,3.0,-33.867503,151.223661,2016-01-29 22:34:05.297953
9497437,49225538,Entire home/apt,,Eastern Suburbs,0,,,3.0,217.0,3.0,-33.878289,151.228886,2016-01-29 22:33:44.994298
4115043,3243601,Entire home/apt,,Inner Sydney,20,5.0,,3.0,218.0,4.0,-33.889139,151.212946,2016-01-29 22:33:41.775329
9779472,14138978,Entire home/apt,,Inner Sydney,0,,2.0,1.0,145.0,4.0,-33.877261,151.220611,2016-01-29 22:32:56.733494
9943436,17137667,Entire home/apt,,Eastern Suburbs,1,5.0,2.0,0.0,109.0,2.0,-33.893999,151.262343,2016-01-29 22:32:48.649103
