room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16357380,97434038,Shared room,,Inner Sydney,1,0.0,2,1.0,87.0,,-33.876406,151.205506,2017-01-27 10:16:04.441571
16082744,25009294,Shared room,,Central Northern Sydney,0,0.0,4,1.0,101.0,,-33.779177,151.197421,2017-01-27 10:16:03.990218
16547197,87843963,Shared room,,Eastern Suburbs,1,0.0,2,1.0,101.0,,-33.88727,151.272557,2017-01-27 10:16:03.766624
16303794,97434038,Shared room,,Inner Sydney,0,0.0,2,1.0,94.0,,-33.876236,151.203053,2017-01-27 10:16:03.545904
13790226,11247329,Shared room,,Inner Sydney,0,0.0,4,1.0,74.0,,-33.875924,151.204837,2017-01-27 10:16:01.693944
7094908,10707178,Shared room,,Inner Sydney,5,5.0,1,1.0,77.0,,-33.884145,151.200709,2017-01-27 10:16:01.477081
7471411,38799083,Shared room,,Inner Western Sydney,19,4.0,3,1.0,70.0,,-33.871017,151.097032,2017-01-27 10:16:01.263853
12873453,70413314,Shared room,,Eastern Suburbs,3,5.0,1,1.0,66.0,,-33.886476,151.266736,2017-01-27 10:15:59.443473
13318796,5963064,Shared room,,Lower Northern Sydney,1,0.0,2,1.0,78.0,,-33.836621,151.204454,2017-01-27 10:15:59.219433
16440518,107810110,Shared room,,Eastern Suburbs,0,0.0,1,1.0,82.0,,-33.945108,151.257222,2017-01-27 10:15:59.007621
15946609,103516662,Shared room,,Lower Northern Sydney,0,0.0,2,1.0,62.0,,-33.812664,151.081916,2017-01-27 10:15:58.801782
15035623,94953602,Shared room,,Inner Sydney,0,0.0,1,1.0,70.0,,-33.884212,151.194991,2017-01-27 10:15:58.372871
16178391,70256135,Shared room,,Lower Northern Sydney,0,0.0,3,1.0,63.0,,-33.798334,151.181294,2017-01-27 10:15:58.155525
15987735,27731791,Shared room,,Inner Sydney,0,0.0,1,1.0,78.0,,-33.877848,151.205917,2017-01-27 10:15:57.947433
16260142,91959446,Shared room,,Inner Sydney,0,0.0,2,1.0,78.0,,-33.878504,151.220289,2017-01-27 10:15:57.737268
16511410,108328755,Shared room,,Inner Sydney,0,0.0,2,1.0,76.0,,-33.875221,151.174769,2017-01-27 10:15:57.515691
6080094,31560919,Shared room,,Inner Sydney,0,0.0,2,1.0,78.0,,-33.88835,151.217623,2017-01-27 10:15:57.287487
16590780,108973981,Shared room,,Eastern Suburbs,0,0.0,1,1.0,68.0,,-33.976904,151.25088,2017-01-27 10:15:57.077880
16678430,105734083,Shared room,,Inner Sydney,0,0.0,2,1.0,70.0,,-33.874055,151.196805,2017-01-27 10:15:56.855522
4883654,25124690,Shared room,,Eastern Suburbs,0,0.0,1,1.0,77.0,,-33.909613,151.238895,2017-01-27 10:15:56.647504
10254115,52712976,Shared room,,Inner Sydney,1,0.0,2,1.0,70.0,,-33.879493,151.19752,2017-01-27 10:15:56.429783
