room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4297286,22060924,Private room,,Eastern Suburbs,1,3.0,1,1.0,96.0,7.0,-33.904351,151.259909,2015-01-20 13:01:10.881
4297397,10653060,Entire home/apt,,Eastern Suburbs,0,,4,2.0,148.0,3.0,-33.92401,151.25068,2015-02-16 12:19:32.238
4297474,16418911,Private room,,St George-Sutherland,4,5.0,2,1.0,84.0,1.0,-33.930968,151.154036,2015-01-20 11:15:32.220
4297510,2171955,Private room,,Northern Beaches,10,4.5,1,1.0,101.0,2.0,-33.797995,151.285559,2015-01-20 12:10:17.773
4297547,16110707,Private room,,Eastern Suburbs,0,,2,1.0,111.0,3.0,-33.893387,151.266902,2015-01-20 13:09:32.020
4297967,20954335,Entire home/apt,,Inner Sydney,0,,2,1.0,299.0,4.0,-33.8748,151.196639,2015-02-16 16:42:35.015
4297996,12939821,Entire home/apt,,Eastern Suburbs,1,4.0,4,2.0,203.0,4.0,-33.880518,151.276076,2015-01-20 11:30:24.741
4298003,19384414,Entire home/apt,,Inner Sydney,2,4.0,2,1.0,141.0,2.0,-33.892666,151.207228,2015-01-20 11:41:44.600
4298067,3950110,Entire home/apt,,Eastern Suburbs,3,5.0,6,3.0,455.0,3.0,-33.88855,151.242531,2015-01-20 13:21:44.233
4298762,12068145,Private room,,Northern Beaches,15,4.5,2,1.0,96.0,1.0,-33.794323,151.286592,2015-01-20 11:27:16.836
4299390,9410662,Entire home/apt,,Inner Sydney,1,4.0,4,2.0,177.0,7.0,-33.875714,151.16674,2015-01-20 14:33:22.915
4299453,13685145,Entire home/apt,,Eastern Suburbs,2,4.0,6,4.0,478.0,4.0,-33.906332,151.255404,2015-02-16 12:55:29.235
4299971,22322220,Private room,,Eastern Suburbs,0,,2,1.0,110.0,1.0,-33.88606,151.282029,2015-02-16 13:22:31.381
4304609,22344576,Entire home/apt,,Inner Sydney,1,2.0,6,2.0,115.0,1.0,-33.878269,151.212336,2015-02-16 15:36:45.684
4304686,22344738,Entire home/apt,,Inner Sydney,1,5.0,2,1.0,106.0,2.0,-33.899204,151.160642,2015-01-20 12:23:48.442
4304698,22345222,Entire home/apt,,Eastern Suburbs,0,,2,1.0,304.0,1.0,-33.891621,151.252705,2015-01-20 12:41:52.315
4304725,22345397,Private room,,Inner Sydney,1,2.0,1,1.0,51.0,1.0,-33.855878,151.179702,2015-01-20 13:25:24.607
4304862,2287563,Private room,,Inner Sydney,3,4.5,1,1.0,47.0,3.0,-33.906988,151.145993,2015-02-16 15:24:05.789
4304959,22347048,Entire home/apt,,Inner Sydney,3,4.0,2,0.0,152.0,3.0,-33.872258,151.226454,2015-01-20 12:51:15.635
4305242,20242519,Entire home/apt,,Lower Northern Sydney,0,,7,4.0,796.0,1.0,-33.818799,151.238704,2015-01-20 13:33:44.293
4305399,22350149,Entire home/apt,,Eastern Suburbs,0,,3,2.0,198.0,2.0,-33.894276,151.268158,2015-02-16 17:21:24.903
4305524,22349874,Entire home/apt,,Inner Sydney,1,5.0,4,2.0,293.0,4.0,-33.882464,151.212841,2015-01-20 14:17:32.362
4305589,1418531,Private room,,Lower Northern Sydney,2,3.5,1,1.0,50.0,1.0,-33.838617,151.197656,2015-02-16 12:20:09.501
4305608,2628925,Private room,,Inner Sydney,0,,2,1.0,299.0,1.0,-33.875419,151.215714,2015-02-16 13:47:23.266
4305670,113874,Entire home/apt,,Eastern Suburbs,1,5.0,6,3.0,395.0,2.0,-33.915421,151.258746,2015-01-20 11:21:51.083
4305803,22352750,Entire home/apt,,Eastern Suburbs,0,,4,3.0,498.0,5.0,-33.889687,151.255639,2015-02-16 09:23:58.307
4306249,22350521,Private room,,Lower Northern Sydney,1,5.0,2,1.0,122.0,1.0,-33.805286,151.176775,2015-01-20 13:05:55.809
4306385,22354945,Private room,,Inner Sydney,0,,2,1.0,46.0,7.0,-33.915921,151.168782,2015-02-16 14:26:45.745
4306494,10285536,Entire home/apt,,Eastern Suburbs,0,,4,2.0,304.0,7.0,-33.891788,151.271898,2015-01-20 12:49:37.787
4306807,10530422,Entire home/apt,,Eastern Suburbs,0,,4,2.0,405.0,5.0,-33.889841,151.244463,2015-01-20 14:22:39.068
4306944,373511,Private room,,Eastern Suburbs,7,4.5,2,1.0,122.0,1.0,-33.890257,151.27315,2015-01-20 11:12:55.873
4311175,4298915,Entire home/apt,,Eastern Suburbs,0,,3,2.0,472.0,9.0,-33.89456,151.273249,2015-02-16 09:08:53.340
4311676,22381389,Entire home/apt,,Northern Beaches,0,,9,5.0,760.0,7.0,-33.788565,151.281788,2015-01-20 14:30:36.262
4311811,22382321,Private room,,Eastern Suburbs,0,,1,1.0,81.0,1.0,-33.939964,151.236262,2015-01-20 11:17:22.557
4311879,13711374,Private room,,Inner Sydney,0,,2,1.0,162.0,7.0,-33.873961,151.223359,2015-01-20 13:03:10.208
4311934,17387659,Private room,,Inner Sydney,4,5.0,2,1.0,86.0,1.0,-33.918989,151.148537,2015-01-20 14:33:53.836
4312155,22319099,Shared room,,Eastern Suburbs,0,,2,1.0,50.0,1.0,-33.892534,151.263395,2015-01-20 13:35:28.864
4312233,5383558,Private room,,Eastern Suburbs,1,,2,1.0,120.0,1.0,-33.874926,151.24938,2015-02-16 11:30:03.551
4312484,22386607,Entire home/apt,,Inner Sydney,3,5.0,2,1.0,179.0,6.0,-33.869992,151.228943,2015-02-16 11:09:13.922
4313175,11028552,Entire home/apt,,Lower Northern Sydney,1,5.0,4,2.0,253.0,7.0,-33.833408,151.23641,2015-01-20 13:29:11.217
4313316,14382364,Entire home/apt,,Northern Beaches,2,4.0,2,1.0,198.0,1.0,-33.637267,151.331898,2015-02-16 15:52:22.633
4314170,7950441,Entire home/apt,,Inner Sydney,1,5.0,6,3.0,354.0,5.0,-33.895901,151.20996,2015-01-20 12:42:28.413
4314468,5976042,Entire home/apt,,Eastern Suburbs,0,,4,2.0,253.0,3.0,-33.911918,151.237633,2015-01-20 13:50:24.766
4317071,22412289,Entire home/apt,,Inner Sydney,2,5.0,4,2.0,159.0,3.0,-33.857844,151.186117,2015-02-16 09:40:43.890
4317571,22415241,Entire home/apt,,Inner Sydney,1,5.0,4,2.0,506.0,4.0,-33.857199,151.202523,2015-01-20 14:42:36.503
4317740,12453600,Entire home/apt,,Inner Sydney,0,,4,2.0,201.0,2.0,-33.912646,151.171879,2015-01-20 12:20:21.094
4317935,22341482,Private room,,Inner Sydney,0,,2,1.0,85.0,3.0,-33.92427,151.186924,2015-02-16 16:43:21.775
4318045,4623297,Entire home/apt,,Inner Sydney,0,,2,1.0,127.0,7.0,-33.897638,151.210585,2015-01-20 13:38:42.167
4318096,12583590,Entire home/apt,,Inner Sydney,1,4.0,4,1.0,199.0,6.0,-33.85892,151.193896,2015-02-16 09:45:17.157
4318125,20682221,Entire home/apt,,Eastern Suburbs,4,5.0,2,1.0,100.0,1.0,-33.907127,151.257466,2015-02-16 11:48:39.859
4318282,7501091,Private room,,Inner Sydney,5,5.0,2,1.0,100.0,2.0,-33.870758,151.223053,2015-01-20 13:08:04.211
4318616,9037304,Entire home/apt,,Inner Sydney,9,4.0,2,0.0,100.0,1.0,-33.89409,151.200614,2015-02-16 10:18:38.124
4318712,201611,Entire home/apt,,Inner Sydney,4,4.5,4,2.0,319.0,4.0,-33.886645,151.216563,2015-02-16 17:27:59.163
4318999,22424107,Entire home/apt,,Inner Sydney,0,,2,0.0,304.0,5.0,-33.867256,151.224716,2015-01-20 11:47:12.585
4319171,12555248,Entire home/apt,,Northern Beaches,2,5.0,7,5.0,458.0,3.0,-33.639024,151.325542,2015-02-16 13:24:12.074
4319535,10358271,Entire home/apt,,Eastern Suburbs,5,4.5,4,2.0,157.0,1.0,-33.917063,151.259418,2015-01-20 12:25:54.158
4319562,10267266,Private room,,Eastern Suburbs,1,5.0,1,1.0,142.0,2.0,-33.915798,151.251257,2015-01-20 13:08:17.172
4319852,11889325,Entire home/apt,,Lower Northern Sydney,1,5.0,2,1.0,141.0,9.0,-33.826708,151.194143,2015-01-20 14:04:24.021
4320253,2057883,Private room,,Inner Sydney,13,5.0,2,1.0,134.0,2.0,-33.873117,151.224694,2015-02-16 17:49:23.541
4320284,17273444,Entire home/apt,,Northern Beaches,10,4.5,2,1.0,173.0,2.0,-33.602944,151.325707,2015-01-20 11:56:19.229
4320661,22431923,Entire home/apt,,Inner Sydney,2,5.0,2,1.0,138.0,7.0,-33.877575,151.222148,2015-02-16 10:06:56.797
4322140,4590277,Shared room,,Inner Sydney,0,,1,1.0,27.0,1.0,-33.871335,151.195046,2015-01-20 13:37:12.583
4323547,16976300,Entire home/apt,,Eastern Suburbs,1,3.0,5,3.0,349.0,3.0,-33.901328,151.255081,2015-02-16 15:11:12.144
4324531,14292164,Private room,,Inner Sydney,0,,1,1.0,38.0,5.0,-33.900037,151.17689,2015-02-16 12:13:50.250
4324863,3994560,Entire home/apt,,Inner Sydney,0,,2,2.0,120.0,1.0,-33.881167,151.172041,2015-02-16 17:59:00.087
4324928,4956180,Entire home/apt,,Inner Sydney,2,5.0,2,1.0,152.0,2.0,-33.867216,151.225497,2015-01-20 12:52:49.929
4324975,22457498,Private room,,Inner Sydney,1,3.0,2,1.0,122.0,5.0,-33.878468,151.223577,2015-01-20 14:08:59.902
4324983,9761954,Entire home/apt,,Eastern Suburbs,1,4.0,6,3.0,400.0,2.0,-33.883537,151.274599,2015-01-20 14:23:01.700
4325033,7227862,Private room,,Eastern Suburbs,0,,2,1.0,120.0,1.0,-33.874895,151.247774,2015-02-16 11:30:44.510
4325235,113874,Entire home/apt,,Eastern Suburbs,0,,9,4.0,578.0,6.0,-33.916046,151.259996,2015-01-20 14:16:00.517
4325246,8764547,Private room,,Eastern Suburbs,1,5.0,2,1.0,111.0,2.0,-33.862486,151.280923,2015-01-20 14:34:07.331
4325420,13554760,Entire home/apt,,Eastern Suburbs,1,5.0,4,2.0,177.0,2.0,-33.88932,151.264478,2015-01-20 12:18:45.947
4325424,8316804,Entire home/apt,,Northern Beaches,1,5.0,5,2.0,324.0,7.0,-33.792334,151.278219,2015-01-20 12:26:04.676
4325515,113874,Entire home/apt,,Eastern Suburbs,0,,4,3.0,249.0,5.0,-33.884098,151.235024,2015-02-16 09:21:15.996
4325559,2689444,Entire home/apt,,Inner Sydney,1,4.0,2,1.0,279.0,3.0,-33.872292,151.226434,2015-02-16 12:27:02.617
4325561,17276237,Private room,,Lower Northern Sydney,0,,1,1.0,60.0,1.0,-33.818651,151.213678,2015-02-16 12:36:10.634
4326148,17472993,Entire home/apt,,Northern Beaches,0,,5,3.0,279.0,5.0,-33.618274,151.335228,2015-01-20 11:17:44.926
4326684,22466576,Private room,,Eastern Suburbs,2,4.5,2,1.0,76.0,1.0,-33.884883,151.274828,2015-01-20 11:54:53.468
