"Country.Name" "Country.Code" "Y2013"
"140" "Nicaragua" "NIC" 11255642564.758
"141" "Niger" "NER" 7355697919.19683
"142" "Nigeria" "NGA" 522637871819.646
"143" "Northern Mariana Islands" "MNP" NA
"144" "Norway" "NOR" 512580425531.915
"145" "Oman" "OMN" 80570458653.2623
"146" "Pakistan" "PAK" 236624927697.901
"147" "Palau" "PLW" 247043418.3
"148" "Panama" "PAN" 42648100000
"149" "Papua New Guinea" "PNG" 15289374025.3954
"150" "Paraguay" "PRY" 29948866615.9682
"151" "Peru" "PER" 202295635535.696
"152" "Philippines" "PHL" 272017377291.725
"153" "Poland" "POL" 517542808327.533
"154" "Portugal" "PRT" 219961867282.386
"155" "Puerto Rico" "PRI" NA
"156" "Qatar" "QAT" 202450014109.589
"157" "Romania" "ROM" 189638162013.271
"158" "Russian Federation" "RUS" 2096777030571.25
"159" "Rwanda" "RWA" 7451677748.56966
"160" "Samoa" "WSM" 694376559.149197
"161" "San Marino" "SMR" NA
"162" "Sao Tome and Principe" "STP" 310684635.735921
"163" "Saudi Arabia" "SAU" 745272533333.333
"164" "Senegal" "SEN" 15149708525.6255
"165" "Serbia" "SRB" 42520511655.2703
"166" "Seychelles" "SYC" 1268018737.53153
"167" "Sierra Leone" "SLE" 4929214079.6307
"168" "Singapore" "SGP" 297941261088.468
"169" "Sint Maarten (Dutch part)" "SXM" NA
"170" "Slovak Republic" "SVK" NA
"171" "Slovenia" "SVN" NA
"172" "Solomon Islands" "SLB" 1096396926.91144
"173" "Somalia" "SOM" NA
"174" "South Africa" "ZAF" 350630133297.428
"175" "South Sudan" "SSD" 13796610169.4915
"176" "Spain" "ESP" 1358262668312.59
"177" "Sri Lanka" "LKA" 67182015335.7602
"178" "St. Kitts and Nevis" "KNA" 742962962.962963
"179" "St. Lucia" "LCA" 1332222222.22222
"180" "St. Martin (French part)" "MAF" NA
"181" "St. Vincent and the Grenadines" "VCT" 725555555.555555
"182" "Sudan" "SDN" 66547789473.6842
"183" "Suriname" "SUR" 5230909090.90909
"184" "Swaziland" "SWZ" 3791304347.82609
"185" "Sweden" "SWE" 557938257330.461
"186" "Switzerland" "CHE" 650781843978.122
"187" "Syrian Arab Republic" "SYR" NA
"188" "Tajikistan" "TJK" 8508103455.51497
"189" "Tanzania" "TZA" 33225036864.8622
"190" "Thailand" "THA" 387252164290.829
"191" "Timor-Leste" "TMP" 1.615e+09
"192" "Togo" "TGO" 4338575823.81993
"193" "Tonga" "TON" 466259084.092744
"194" "Trinidad and Tobago" "TTO" 24640839007.5918
"195" "Tunisia" "TUN" 47128700683.203
"196" "Turkey" "TUR" 820206962631.085
"197" "Turkmenistan" "TKM" 41850877192.9825
"198" "Turks and Caicos Islands" "TCA" NA
"199" "Tuvalu" "TUV" 38134775.0530991
"200" "Uganda" "UGA" 21482954236.7675
"201" "Ukraine" "UKR" 177430609756.098
"202" "United Arab Emirates" "ARE" NA
"203" "United Kingdom" "GBR" 2522261112322.15
"204" "United States" "USA" 1.68e+13
"205" "Uruguay" "URY" 55707944641.5016
"206" "Uzbekistan" "UZB" 56795656324.5823
"207" "Vanuatu" "VUT" 834760110.267003
"208" "Venezuela, RB" "VEN" 438283564814.815
"209" "Vietnam" "VNM" 171391820359.682
"210" "Virgin Islands (U.S.)" "VIR" NA
"211" "West Bank and Gaza" "WBG" NA
"212" "Yemen, Rep." "YEM" 35954502303.5041
"213" "Zambia" "ZMB" 22383715314.8594
"214" "Zimbabwe" "ZWE" 12801964992.8206
