Year,Value
190912,-0.4142
191001,-0.3114
191002,-0.3708
191003,-0.4299
191004,-0.3464
191005,-0.311
191006,-0.3631
191007,-0.3362
191008,-0.3428
191009,-0.3421
191010,-0.4283
191011,-0.5037
191012,-0.5704
191101,-0.5163
191102,-0.5375
191103,-0.5796
191104,-0.5195
191105,-0.4859
191106,-0.4571
191107,-0.473
191108,-0.4627
191109,-0.4097
191110,-0.353
191111,-0.2668
191112,-0.2558
191201,-0.2877
191202,-0.1184
191203,-0.3215
191204,-0.2106
191205,-0.2347
191206,-0.2662
191207,-0.3207
191208,-0.4589
191209,-0.5139
191210,-0.527
191211,-0.4193
191212,-0.3623
191301,-0.3599
191302,-0.399
191303,-0.416
191304,-0.359
191305,-0.4012
191306,-0.3874
191307,-0.3624
191308,-0.3366
191309,-0.3659
191310,-0.3204
191311,-0.1471
191312,-0.0468
191401,0.0862
191402,-0.131
191403,-0.1733
191404,-0.2563
191405,-0.1728
191406,-0.204
191407,-0.2178
191408,-0.1827
191409,-0.1862
191410,-0.103
191411,-0.1289
191412,-0.1086
191501,-0.1449
191502,-0.0212
191503,-0.1117
191504,0.0142
191505,-0.0773
191506,-0.0949
191507,-0.0362
191508,-0.0825
191509,-0.1193
191510,-0.1797
191511,-0.0185
191512,-0.0576
191601,-0.1866
191602,-0.1841
191603,-0.301
191604,-0.2055
191605,-0.2322
191606,-0.3914
191607,-0.2961
191608,-0.2811
191609,-0.2671
191610,-0.2721
191611,-0.4006
191612,-0.5809
191701,-0.4358
191702,-0.4786
191703,-0.434
191704,-0.3228
191705,-0.4544
191706,-0.349
191707,-0.178
191708,-0.1796
191709,-0.0695
191710,-0.2665
191711,-0.1404
191712,-0.5393
191801,-0.2219
191802,-0.2972
191803,-0.186
191804,-0.3017
191805,-0.2818
191806,-0.1898
191807,-0.2095
191808,-0.1866
191809,-0.1551
191810,-0.1094
191811,-0.1226
191812,-0.3275
191901,-0.2494
191902,-0.0609
191903,-0.2475
191904,-0.0789
191905,-0.1913
191906,-0.242
191907,-0.2242
191908,-0.215
191909,-0.1898
191910,-0.2295
191911,-0.3248
191912,-0.3064
192001,-0.1232
192002,-0.2262
192003,-0.0639
192004,-0.2169
192005,-0.1747
192006,-0.2615
192007,-0.2496
192008,-0.2362
192009,-0.1811
192010,-0.2156
192011,-0.2586
192012,-0.3961
192101,-0.0655
192102,-0.1557
192103,-0.2239
192104,-0.21
192105,-0.1959
192106,-0.1726
192107,-0.1202
192108,-0.2011
192109,-0.1548
192110,-0.0723
192111,-0.1922
192112,-0.0907
192201,-0.3293
192202,-0.3034
192203,-0.0854
192204,-0.1363
192205,-0.2717
192206,-0.2889
192207,-0.2699
192208,-0.2849
192209,-0.2595
192210,-0.2575
192211,-0.199
192212,-0.1646
192301,-0.2209
192302,-0.3876
192303,-0.2759
192304,-0.3449
192305,-0.2553
192306,-0.2012
192307,-0.2891
192308,-0.2893
192309,-0.2512
192310,-0.1678
192311,0.0265
192312,-0.0038
192401,-0.2585
192402,-0.1906
192403,-0.1185
192404,-0.2517
192405,-0.1934
192406,-0.2316
192407,-0.2268
192408,-0.2936
192409,-0.2882
192410,-0.2898
192411,-0.298
192412,-0.3965
192501,-0.3286
192502,-0.2818
192503,-0.1725
192504,-0.1684
192505,-0.2262
192506,-0.2328
192507,-0.214
192508,-0.1406
192509,-0.1087
192510,-0.1357
192511,0.0547
192512,0.1344
192601,0.1658
192602,0.08
192603,0.072
192604,-0.1398
192605,-0.1362
192606,-0.1276
192607,-0.1623
192608,-0.0918
192609,-0.1071
192610,-0.0854
192611,-0.0811
192612,-0.2167
192701,-0.1755
192702,-0.1928
