"","benchmark","problem","plangraph","ps","horizon","SAT","total_time"
"93","depot",10,"ptruelfmutex","parallel",15,0,100
"94","depot",10,"ptruelfmutex","serial",21,0,100
"95","depot",10,"ptruelreachable","parallel",15,0,100
"96","depot",10,"ptruelreachable","serial",21,0,100
"97","depot",2,"pfalse","parallel",15,1,94.7867360115051
"98","depot",2,"pfalse","serial",15,1,1.85349798202515
"99","depot",2,"ptruelboth","parallel",15,1,22.7357294559479
"100","depot",2,"ptruelboth","serial",15,1,1.23103666305542
"101","depot",2,"ptruelfmutex","parallel",15,1,22.5881195068359
"102","depot",2,"ptruelfmutex","serial",15,1,1.59547114372253
"103","depot",2,"ptruelreachable","parallel",15,1,24.8794054985046
"104","depot",2,"ptruelreachable","serial",15,1,1.47153210639954
"105","depot",3,"pfalse","parallel",15,0,100
"106","depot",3,"pfalse","serial",27,0,100
"107","depot",3,"ptruelboth","parallel",15,0,100
"108","depot",3,"ptruelboth","serial",27,1,71.1978056430817
"109","depot",3,"ptruelfmutex","parallel",15,0,100
"110","depot",3,"ptruelfmutex","serial",27,1,88.313068151474
"111","depot",3,"ptruelreachable","parallel",15,0,100
"112","depot",3,"ptruelreachable","serial",27,0,100
"113","depot",4,"pfalse","parallel",15,0,100
"114","depot",4,"pfalse","serial",27,0,100
"115","depot",4,"ptruelboth","parallel",15,0,100
"116","depot",4,"ptruelboth","serial",27,0,100
"117","depot",4,"ptruelfmutex","parallel",15,0,100
"118","depot",4,"ptruelfmutex","serial",27,0,100
"119","depot",4,"ptruelreachable","parallel",15,0,100
"120","depot",4,"ptruelreachable","serial",27,0,100
"121","depot",5,"pfalse","parallel",15,0,100
"122","depot",5,"pfalse","serial",27,0,100
"123","depot",5,"ptruelboth","parallel",15,0,100
"124","depot",5,"ptruelboth","serial",27,0,100
"125","depot",5,"ptruelfmutex","parallel",15,0,100
"126","depot",5,"ptruelfmutex","serial",27,0,100
"127","depot",5,"ptruelreachable","parallel",15,0,100
"128","depot",5,"ptruelreachable","serial",27,0,100
"129","depot",6,"pfalse","parallel",15,0,100
"130","depot",6,"pfalse","serial",21,0,100
"131","depot",6,"ptruelboth","parallel",15,0,100
"132","depot",6,"ptruelboth","serial",21,0,100
"133","depot",6,"ptruelfmutex","parallel",15,0,100
"134","depot",6,"ptruelfmutex","serial",21,0,100
"135","depot",6,"ptruelreachable","parallel",15,0,100
"136","depot",6,"ptruelreachable","serial",21,0,100
"137","depot",7,"pfalse","parallel",15,0,100
"138","depot",7,"pfalse","serial",21,1,58.3663861751556
"139","depot",7,"ptrue","lreachable",15,0,100
"140","depot",7,"ptruelboth","parallel",15,0,100
"141","depot",7,"ptruelboth","serial",21,1,19.5689435005188
"142","depot",7,"ptruelfmutex","parallel",15,0,100
"143","depot",7,"ptruelfmutex","serial",21,1,18.9628276824951
"144","depot",7,"ptruelreachable","serial",21,1,27.7522568702698
"145","depot",8,"pfalse","parallel",15,0,100
"146","depot",8,"pfalse","serial",21,0,100
"147","depot",8,"ptruelboth","parallel",15,0,100
"148","depot",8,"ptruelboth","serial",21,0,100
"149","depot",8,"ptruelfmutex","parallel",15,0,100
"150","depot",8,"ptruelfmutex","serial",27,0,100
"151","depot",8,"ptruelreachable","parallel",15,0,100
"152","depot",8,"ptruelreachable","serial",21,0,100
"153","depot",9,"pfalse","parallel",15,0,100
"154","depot",9,"pfalse","serial",15,0,100
"155","depot",9,"ptruelboth","parallel",15,0,100
"156","depot",9,"ptruelboth","serial",21,0,100
"157","depot",9,"ptruelfmutex","parallel",15,0,100
"158","depot",9,"ptruelfmutex","serial",21,0,100
"159","depot",9,"ptruelreachable","parallel",15,0,100
"160","depot",9,"ptruelreachable","serial",15,0,100
"161","miconic",1,"pfalse","parallel",15,1,0.107876539230347
"162","miconic",1,"pfalse","serial",15,1,0.11285400390625
"163","miconic",1,"ptruelboth","parallel",15,1,0.097186803817749
"164","miconic",1,"ptruelboth","serial",15,1,0.100289106369019
"165","miconic",1,"ptruelfmutex","parallel",15,1,0.091031551361084
"166","miconic",1,"ptruelfmutex","serial",15,1,0.132386445999146
"167","miconic",1,"ptruelreachable","parallel",15,1,0.0958187580108643
"168","miconic",1,"ptruelreachable","serial",15,1,0.0952911376953125
"169","miconic",10,"pfalse","parallel",15,0,100
"170","miconic",10,"pfalse","serial",15,0,100
"171","miconic",10,"ptruelbot","serial",21,0,100
"172","miconic",10,"ptruelboth","parallel",15,0,100
"173","miconic",10,"ptruelfmutex","parallel",15,0,100
"174","miconic",10,"ptruelfmutex","serial",21,0,100
"175","miconic",10,"ptruelreachable","parallel",15,0,100
"176","miconic",10,"ptruelreachable","serial",15,0,100
"177","miconic",2,"pfalse","parallel",15,1,0.107932567596436
"178","miconic",2,"pfalse","serial",15,1,0.129025459289551
"179","miconic",2,"ptruelboth","parallel",15,1,0.124063014984131
"180","miconic",2,"ptruelboth","serial",15,1,0.114229202270508
"181","miconic",2,"ptruelfmutex","parallel",15,1,0.114737510681152
"182","miconic",2,"ptruelfmutex","serial",15,1,0.125379085540771
"183","miconic",2,"ptruelreachable","parallel",15,1,0.317551612854004
"184","miconic",2,"ptruelreachable","serial",15,1,0.110531330108643
"185","miconic",3,"pfalse","parallel",15,1,0.170535564422607
"186","miconic",3,"pfalse","serial",15,1,0.181360721588135
"187","miconic",3,"ptruelboth","parallel",15,1,0.179931402206421
"188","miconic",3,"ptruelboth","serial",15,1,0.172415733337402
"189","miconic",3,"ptruelfmutex","parallel",15,1,0.179291725158691
"190","miconic",3,"ptruelfmutex","serial",15,1,0.185725927352905
"191","miconic",3,"ptruelreachable","parallel",15,1,0.199941873550415
"192","miconic",3,"ptruelreachable","serial",15,1,0.202174663543701
"193","miconic",4,"pfalse","parallel",15,1,0.391802310943604
"194","miconic",4,"pfalse","serial",15,1,0.77274489402771
"195","miconic",4,"ptruelboth","parallel",15,1,0.43122410774231
"196","miconic",4,"ptruelboth","serial",15,1,0.375110864639282
"197","miconic",4,"ptruelfmutex","parallel",15,1,0.389786720275879
"198","miconic",4,"ptruelfmutex","serial",15,1,0.317279815673828
"199","miconic",4,"ptruelreachable","parallel",15,1,0.459840774536133
"200","miconic",4,"ptruelreachable","serial",15,1,0.73907208442688
"201","miconic",5,"pfalse","parallel",15,1,2.37021064758301
"202","miconic",5,"pfalse","serial",21,1,10.1278734207153
"203","miconic",5,"ptruelboth","parallel",15,1,1.09741449356079
"204","miconic",5,"ptruelboth","serial",21,1,4.08266186714172
"205","miconic",5,"ptruelfmutex","parallel",15,1,1.00427389144897
"206","miconic",5,"ptruelfmutex","serial",21,1,3.67420077323914
"207","miconic",5,"ptruelreachable","parallel",15,1,3.65024304389954
"208","miconic",5,"ptruelreachable","serial",21,1,8.99519062042236
"209","miconic",6,"pfalse","parallel",15,1,4.28181338310242
"210","miconic",6,"pfalse","serial",21,1,22.6806683540344
"211","miconic",6,"ptruelboth","parallel",15,1,4.33854031562805
"212","miconic",6,"ptruelboth","serial",21,1,13.0319528579712
"213","miconic",6,"ptruelfmutex","parallel",15,1,3.47915935516357
"214","miconic",6,"ptruelfmutex","serial",21,1,15.5071144104004
"215","miconic",6,"ptruelreachable","parallel",15,1,4.64880728721619
"216","miconic",6,"ptruelreachable","serial",21,1,18.2610421180725
"217","miconic",7,"pfalse","parallel",21,1,43.6951673030853
"218","miconic",7,"pfalse","serial",21,0,100
"219","miconic",7,"ptruelboth","parallel",21,1,30.3633661270142
"220","miconic",7,"ptruelboth","serial",21,0,100
"221","miconic",7,"ptruelfmutex","parallel",21,1,31.6633937358856
"222","miconic",7,"ptruelfmutex","serial",21,0,100
"223","miconic",7,"ptruelreachable","parallel",21,1,62.2546215057373
"224","miconic",7,"ptruelreachable","serial",21,0,100
"225","miconic",8,"pfalse","parallel",21,0,100
"226","miconic",8,"pfalse","serial",15,0,100
"227","miconic",8,"ptruelboth","parallel",21,0,100
"228","miconic",8,"ptruelboth","serial",21,0,100
"229","miconic",8,"ptruelfmutex","parallel",21,0,100
"230","miconic",8,"ptruelfmutex","serial",21,0,100
"231","miconic",8,"ptruelreachable","parallel",21,0,100
"232","miconic",8,"ptruelreachable","serial",21,0,100
"233","miconic",9,"pfalse","parallel",21,0,100
"234","miconic",9,"pfalse","serial",15,0,100
"235","miconic",9,"ptruelboth","parallel",21,0,100
"236","miconic",9,"ptruelboth","serial",21,0,100
"237","miconic",9,"ptruelfmutex","parallel",21,0,100
"238","miconic",9,"ptruelfmutex","serial",21,0,100
"239","miconic",9,"ptruelreachable","parallel",21,0,100
"240","miconic",9,"ptruelreachable","serial",15,0,100
